product_id,brand,product_name,product_name_en,category,subcategory,is_rising,rising_rank,category_rank,brand_rank,source_1,source_product_id_1,url_1,source_2,source_product_id_2,url_2,source_3,source_product_id_3,url_3
P00263,에이프릴스킨,핑크알로에 머랭솝,,마스크/팩,워시오프 팩,,,,,화해,2097671,https://www.hwahae.co.kr/products/p/2097671,,,,,,
P00264,제로이드,인텐시브 SOS 플러스 밤,,스킨케어,밤/멀티밤,,,,,화해,2097713,https://www.hwahae.co.kr/products/p/2097713,,,,,,
P00265,아임프롬,피그 엔자임 파우더 클렌저,,클렌징/필링,클렌징 파우더,,,,,화해,2099491,https://www.hwahae.co.kr/products/p/2099491,,,,,,
P00266,셀인샷,EGF 알란테놀 리페어 크림,,스킨케어,크림,,,,,화해,2099773,https://www.hwahae.co.kr/products/p/2099773,,,,,,
P00267,더메디닥터,데이앤블루 UV 선미스트 [SPF50+/PA++++],,선케어,선스프레이,,,,,화해,2102684,https://www.hwahae.co.kr/products/p/2102684,,,,,,
P00268,그린핑거,판테딘 엠디 더마 수딩젤,,스킨케어,젤,,,,,화해,2107285,https://www.hwahae.co.kr/products/p/2107285,,,,,,
P00269,스트라이덱스,맥스플러스 패드,,클렌징/필링,스크럽/필링 패드,,,,,화해,2107521,https://www.hwahae.co.kr/products/p/2107521,,,,,,
P00270,볼라보,피니쉬 랩핑 겔,,마스크/팩,필오프 팩,,,,,화해,2107973,https://www.hwahae.co.kr/products/p/2107973,,,,,,
P00271,롬앤,누 제로 쿠션 [SPF24/PA++] [03 내추럴21],,,,TRUE,11,,,화해,2108567,https://www.hwahae.co.kr/products/p/2108567,,,,,,
P00272,메디큐브,엑소좀시카 진정 패드,,클렌징/필링,스크럽/필링 패드,,,,,화해,2109774,https://www.hwahae.co.kr/products/p/2109774,,,,,,
P00273,바이오더마,시카비오 크림+,,스킨케어,크림,,,,,화해,2109850,https://www.hwahae.co.kr/products/p/2109850,,,,,,
P00274,르메이엘,쿨링 앤 카밍 아이싱랩,,마스크/팩,부분마스크 패드,,,,,화해,2110665,https://www.hwahae.co.kr/products/p/2110665,,,,,,
P00275,레이어랩,니오좀 판테놀 5% 세럼,,스킨케어,에센스/앰플/세럼,,,,,화해,2116913,https://www.hwahae.co.kr/products/p/2116913,,,,,,
P00276,아누아,어성초 77 수딩 토너,,,,,,,6,화해,2117112,https://www.hwahae.co.kr/products/p/2117112,,,,,,
P00277,바이오던스,리프레싱 씨 켈프 리얼 딥 마스크,,마스크/팩,슬리핑팩,,,,,화해,2119337,https://www.hwahae.co.kr/products/p/2119337,,,,,,
