product_id,brand_ko,brand_en,product_name_ko,product_name_en,category,subcategory,has_hwahae_source,has_any_source,has_skin_type_signal,has_concern_signal,has_texture,has_age_signal,has_ranking,has_award,has_oliveyoung_global_offer,recommendation_review_candidate,commerce_review_candidate,missing_for_review
P00259,바닐라코,banila co,클린 잇 제로 클렌징밤 [오리지널],,클렌징/필링,클렌징 밤,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00260,센텔리안24,Centellian24,마데카크림 타임리버스,,스킨케어,크림,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00261,일루미엘,,물결 수분 네모패드,,마스크/팩,부분마스크 패드,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00262,믹순,mixsoon,콩 에센스,Bean Essence 50mL,스킨케어,에센스/앰플/세럼,True,True,False,True,False,False,False,True,True,True,True,skin_type_signal|texture
P00263,에이프릴스킨,,핑크알로에 머랭솝,,마스크/팩,워시오프 팩,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00264,제로이드,ZEROID,인텐시브 SOS 플러스 밤,,스킨케어,밤/멀티밤,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00265,아임프롬,I'm from,피그 엔자임 파우더 클렌저,,클렌징/필링,클렌징 파우더,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00266,셀인샷,,EGF 알란테놀 리페어 크림,,스킨케어,크림,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00267,더메디닥터,,데이앤블루 UV 선미스트 [SPF50+/PA++++],,선케어,선스프레이,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00268,그린핑거,Green Finger,판테딘 엠디 더마 수딩젤,,스킨케어,젤,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00269,스트라이덱스,Stridex,맥스플러스 패드,,클렌징/필링,스크럽/필링 패드,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00270,볼라보,,피니쉬 랩핑 겔,,마스크/팩,필오프 팩,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
