oy_global_id,brand_en,product_name_en,url,matched_product_id,candidate_pids,candidate_names
GA210001861,Torriden,Dive-In Serum 50ml,https://global.oliveyoung.com/product/detail?prdtNo=GA210001861,P00249,P00015 | P00020 | P00029 | P00045 | P00059 | P00154 | P00227 | P00232 | P00238 | P00247 | P00249 | P00250,밸런스풀 시카 클렌징 젤 | 다이브인 저분자 히알루론산 클렌징 폼 | 밸런스풀 시카 토너 패드 | 밸런스풀 시카 포어 클렌징 폼 | 밸런스풀 시카 각질 토너 | 다이브인 저분자 히알루론산 클렌징밀크 | 다이브인 저분자 히알루론산 토너 | 다이브인 저분자 히알루론산 수딩 크림 | 다이브인 저분자 히알루론산 크림 | 다이브인 저분자 히알루론산 클렌징 워터 | 다이브인 저분자 히알루론산 세럼 | 밸런스풀 시카 진정 세럼
GA240925558,Anua,PDRN Hyaluronic Capsule 100 Serum 30ml,https://global.oliveyoung.com/product/detail?prdtNo=GA240925558,P00075,P00064 | P00075 | P00138 | P00165 | P00196 | P00276 | P00283,라이스 70 글로우 밀키 토너 | PDRN 히알루론산 캡슐 100 세럼 | PDRN 히알루론산 수분 캡슐 미스트 | 어성초 약산성 딥 클렌징 워터 | PDRN 히알루론산 수분 클렌징 폼 | 어성초 77 수딩 토너 | PDRN 히알루론산 100 수분 크림
GA210001977,beplain,Mung Bean pH-Balanced Cleansing Foam 80ml,https://global.oliveyoung.com/product/detail?prdtNo=GA210001977,P00256,P00006 | P00033 | P00042 | P00051 | P00067 | P00072 | P00073 | P00256 | P00294,시카테롤 스팟 트리트먼트 | 녹두 밀크 필링 젤 | 시카테롤 블레미쉬 패드 | 녹두 클렌징 워터 | 녹두 모공 클리어링 라하 토너 | 녹두 클렌징 오일 | 녹두 모공 타이트업 수딩 크림 | 녹두 약산성 클렌징폼 | 녹두 모공 클리어링 필터 패드
GA240121573,AESTURA,Atobarrier 365 Cream 80mL,https://global.oliveyoung.com/product/detail?prdtNo=GA240121573,P00097,P00023 | P00097 | P00098 | P00176 | P00228,테라크네365 하이드로 액티브 토너 | 아토베리어365 크림 | 아토베리어365 로션 | 아토베리어365 젠틀 포밍클렌저 | 아토베리어365 하이드로 에센스
GA210610734,S.NATURE,Aqua Squalane Moisturizing Cream 60ml,https://global.oliveyoung.com/product/detail?prdtNo=GA210610734,P00017,P00003 | P00016 | P00017 | P00022 | P00031 | P00039 | P00063 | P00093 | P00161 | P00239,아쿠아 오아시스 토너 | 아쿠아 스쿠알란 세럼 | 아쿠아 스쿠알란 수분크림 | 수퍼 아쿠아겔 오아시스 앰플 마스크 | 아쿠아 오아시스 수분 젤크림 | 호호바오일 | 아쿠아 스쿠알란 미스트 | 아쿠아 라이스 클렌징 밤 | 아쿠아 스쿠알란 수분크림 랩핑 마스크 | 아쿠아 소이 요거 아이크림
GA211012101,mixsoon,Bean Essence 50mL,https://global.oliveyoung.com/product/detail?prdtNo=GA211012101,P00262,P00262,콩 에센스
GA250127973,ILLIYOON,Ceramide Ato Concentrate Cream 150mL,https://global.oliveyoung.com/product/detail?prdtNo=GA250127973,P00348,P00223 | P00286 | P00348 | P00358,세라마이드 아토 6.0 탑투토 워시 | 세라마이드 아토 로션 | 세라마이드 아토 집중 크림 | 세라마이드 아토 선로션 [SPF50+/PA++++]
GA240222331,Dr.G,Red Blemish Clear Soothing Cream 70ml,https://global.oliveyoung.com/product/detail?prdtNo=GA240222331,P00172,P00171 | P00172 | P00203 | P00204 | P00240 | P00352,브라이트닝 필링 젤 | 레드 블레미쉬 클리어 수딩 크림 | 레드 블레미쉬 10-시카 캡슐 수딩 토너 | 레드 블레미쉬 쿨 수딩 젤리 미스트 | 그린 마일드 업 선 플러스 [SPF50+/PA++++] | 레드 블레미쉬 클리어 수딩 크림 EX
